PLAYERPLAYER,ABAB,BBBB,SOSO,SBSB,CSCS,AVGAVG,BBBB/(ABAB+BBBB),SOSO/(ABAB+BBBB),(SBSB+CSCS)/(ABAB+BBBB),SBSB/(SBSB+CSCS),__sheet__
1251WillW VenableVenableRF1251???,2836,254,748,135,31,0.249,0.082200647,0.242071197,0.053721683,0.813253012,Sheet1
1251JohnnyJ EdwardsEdwardsC1251???,4577,465,635,15,23,0.242,0.092225307,0.125942086,0.007536692,0.394736842,Sheet1
1251RickR WilkinsWilkinsC1251???,2114,278,571,9,12,0.244,0.116220736,0.238712375,0.008779264,0.428571429,Sheet1
1251SeanS Rodr?guezRodr?guez2B1251???,2572,225,775,42,19,0.226,0.080443332,0.277082588,0.021809081,0.68852459,Sheet1
1251JohnJ BatemanBatemanC1251???,3330,172,610,10,10,0.23,0.049114792,0.174186179,0.005711022,0.5,Sheet1
1251MichaelM SaundersSaundersLF1251???,2455,255,711,55,23,0.232,0.094095941,0.262361624,0.028782288,0.705128205,Sheet1
1251JudJ. WilsonWilson3B1251???,3140,414,0,103,0,0.351,0.116488464,0,0.028981429,1,Sheet1
1263EdE HerrmannHerrmannC1263???,2729,260,361,6,8,0.24,0.086985614,0.120776179,0.004683841,0.428571429,Sheet1
1263YunieskyY BetancourtBetancourtSS1263???,4052,143,435,30,30,0.261,0.0340882,0.103694875,0.014302741,0.5,Sheet1
1263AdamA KennedyKennedy2B1263???,5473,401,839,179,62,0.272,0.068266939,0.142832823,0.04102826,0.742738589,Sheet1
1263JoeJ HauserHauser1B1263???,2044,250,229,19,19,0.284,0.108979948,0.099825632,0.016564952,0.5,Sheet1
1263JulioJ LugoLugoSS1263???,4758,439,876,198,69,0.269,0.084471811,0.168558784,0.051375794,0.741573034,Sheet1
