PLAYERPLAYER,AB,BB,SO,SB,CS,AVG,BBBB/(ABAB+BBBB),SOSO/(ABAB+BBBB),(SBSB+CSCS)/(ABAB+BBBB),SBSB/(SBSB+CSCS),__sheet__
19JimmieJ FoxxFoxx1B19???,8134,1452,1311,87,72,0.325,0.151470895,0.136761945,0.016586689,0.547169811,csv
20WillieW McCoveyMcCovey1B20???,8197,1345,1550,26,22,0.27,0.140955774,0.16243974,0.005030392,0.541666667,csv
20FrankF ThomasThomasDH20???,8199,1667,1397,32,23,0.301,0.168964119,0.141597405,0.005574701,0.581818182,csv
20TedT WilliamsWilliamsLF20???,7706,2019,709,24,17,0.344,0.207609254,0.072904884,0.004215938,0.585365854,csv
23ErnieE BanksBanks1B23???,9421,763,1236,50,53,0.274,0.074921445,0.12136685,0.010113904,0.485436893,csv
23EddieE MathewsMathews3B23???,8537,1444,1487,68,39,0.271,0.144674882,0.148983068,0.010720369,0.635514019,csv
25MiguelM CabreraCabrera1B25???,10356,1258,2105,40,21,0.306,0.108317548,0.181246771,0.005252282,0.655737705,csv
25MelM OttOttRF25???,9456,1708,896,89,,0.304,0.152991759,0.080257972,,,csv
27GaryG SheffieldSheffieldRF27???,9217,1475,1171,253,104,0.292,0.13795361,0.109521137,0.03338945,0.708683473,csv
28EddieE MurrayMurray1B28???,11336,1333,1516,110,43,0.287,0.10521746,0.119662167,0.012076723,0.718954248,csv
29LouL GehrigGehrig1B29???,8001,1508,790,102,101,0.34,0.158586602,0.083079188,0.021348196,0.502463054,csv
29FredF McGriffMcGriff1B29???,8757,1305,1882,72,38,0.284,0.129695886,0.18704035,0.01093222,0.654545455,csv
31AdrianA Beltr?Beltr?3B31???,11068,848,1732,121,42,0.286,0.07116482,0.145350789,0.013679087,0.742331288,csv
32StanS MusialMusialOF32???,10972,1599,696,78,31,0.331,0.127197518,0.055365524,0.00867075,0.71559633,csv
32WillieW StargellStargellLF32???,7927,937,1936,17,16,0.282,0.105708484,0.218411552,0.003722924,0.515151515,csv
34CarlosC DelgadoDelgado1B34???,7283,1109,1745,14,8,0.28,0.132149666,0.20793613,0.002621544,0.636363636,csv
35ChipperC JonesJones3B35???,8984,1512,1409,150,46,0.303,0.144054878,0.134241616,0.01867378,0.765306122,csv
36DaveD WinfieldWinfieldRF36???,11003,1216,1686,223,96,0.283,0.099517145,0.137981832,0.026106883,0.699059561,csv
37NelsonN CruzCruzDH37???,7501,738,1916,84,32,0.274,0.089573977,0.232552494,0.014079379,0.724137931,csv
38AdamA DunnDunnLF38???,6883,1317,2379,63,25,0.237,0.160609756,0.290121951,0.010731707,0.715909091,csv
38JoseJ CansecoCansecoRF38???,7057,906,1942,200,88,0.266,0.113776215,0.243877935,0.036167274,0.694444444,csv
40CarlC YastrzemskiYastrzemskiLF40???,11988,1845,1393,168,116,0.285,0.133376708,0.100701222,0.020530615,0.591549296,csv
41JeffJ BagwellBagwell1B41???,7797,1401,1558,202,78,0.297,0.152315721,0.169384649,0.0304414,0.721428571,csv
